Region/Country/Area,Country,Year,Series,Value,Footnotes,Source
15,Northern Africa,2021,GDP in constant 2015 prices (millions of US dollars),896364.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,1995,GDP real rates of growth (percent),2.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2005,GDP real rates of growth (percent),6.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2010,GDP real rates of growth (percent),5.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2015,GDP real rates of growth (percent),3.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2019,GDP real rates of growth (percent),1.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2020,GDP real rates of growth (percent),-3.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2021,GDP real rates of growth (percent),6.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,1995,GDP in current prices (millions of US dollars),397075.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2005,GDP in current prices (millions of US dollars),794034.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2010,GDP in current prices (millions of US dollars),1386153.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2015,GDP in current prices (millions of US dollars),1634789.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2019,GDP in current prices (millions of US dollars),1806798.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2020,GDP in current prices (millions of US dollars),1681701.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2021,GDP in current prices (millions of US dollars),1872837.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,1995,GDP per capita (US dollars),707.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2005,GDP per capita (US dollars),1087.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2010,GDP per capita (US dollars),1637.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2015,GDP per capita (US dollars),1683.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2019,GDP per capita (US dollars),1674.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2020,GDP per capita (US dollars),1518.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2021,GDP per capita (US dollars),1648.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,1995,GDP in constant 2015 prices (millions of US dollars),629697.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2005,GDP in constant 2015 prices (millions of US dollars),976198.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2010,GDP in constant 2015 prices (millions of US dollars),1295491.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2015,GDP in constant 2015 prices (millions of US dollars),1634789.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2019,GDP in constant 2015 prices (millions of US dollars),1799047.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2020,GDP in constant 2015 prices (millions of US dollars),1762949.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2021,GDP in constant 2015 prices (millions of US dollars),1841801.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,1995,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2005,GDP real rates of growth (percent),6.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2010,GDP real rates of growth (percent),6.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2015,GDP real rates of growth (percent),3.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2019,GDP real rates of growth (percent),2.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2020,GDP real rates of growth (percent),-2.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2021,GDP real rates of growth (percent),4.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,1995,GDP in current prices (millions of US dollars),71027.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2005,GDP in current prices (millions of US dollars),117083.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2010,GDP in current prices (millions of US dollars),235641.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2015,GDP in current prices (millions of US dollars),329095.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2019,GDP in current prices (millions of US dollars),426915.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2020,GDP in current prices (millions of US dollars),426039.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2021,GDP in current prices (millions of US dollars),459522.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,1995,GDP per capita (US dollars),326.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2005,GDP per capita (US dollars),406.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2010,GDP per capita (US dollars),690.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2015,GDP per capita (US dollars),839.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2019,GDP per capita (US dollars),979.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2020,GDP per capita (US dollars),951.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2021,GDP per capita (US dollars),999.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,1995,GDP in constant 2015 prices (millions of US dollars),110383.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2005,GDP in constant 2015 prices (millions of US dollars),165800.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
