Country,Year,Employment by industry: Industry (%) Female
Sao Tome and Principe,2010.0,-1.1764892652144776
Saudi Arabia,2015.0,-1.5060902227996953
Senegal,2010.0,-0.2818580946260299
Senegal,2015.0,-0.07781940659708554
Serbia,2010.0,0.7069447781296231
Serbia,2015.0,0.5499919411842814
Sierra Leone,2015.0,-1.4433090880215589
Singapore,2010.0,0.8325070476858967
Singapore,2015.0,-0.3603345130987008
Slovakia,2010.0,1.5074042465508661
Slovakia,2015.0,1.2876702748273874
Slovenia,2010.0,1.4289278280781954
Slovenia,2015.0,0.8952881824640331
South Africa,2010.0,-0.09351469029161966
South Africa,2015.0,-0.21907695984789316
Spain,2010.0,-0.31324866201509816
Spain,2015.0,-0.5957637685167132
Sri Lanka,2010.0,2.182301445415835
Sri Lanka,2015.0,2.182301445415835
Suriname,2015.0,-0.20338167615335903
Sweden,2010.0,-0.7684118891565892
Sweden,2015.0,-0.7056307543784525
Switzerland,2010.0,-0.12490525768068818
Switzerland,2015.0,-1.4433090880215589
Tajikistan,2010.0,-1.0038411445746018
Thailand,2010.0,1.0522410194093748
Thailand,2015.0,1.162108005271114
Timor-Leste,2010.0,-0.9567552934909992
Timor-Leste,2015.0,-0.7684118891565892
Tunisia,2010.0,3.3123618714222958
Türkiye,2010.0,0.691249494435089
Türkiye,2015.0,0.7383353455186914
Uganda,2010.0,-1.0823175630472728
Uganda,2015.0,-1.1764892652144776
Ukraine,2010.0,0.8168117639913622
United Arab Emirates,2015.0,-1.6002619249669003
United Kingdom,2010.0,-1.3805279532434218
United Kingdom,2015.0,-0.5957637685167132
United Rep. of Tanzania,2010.0,-1.3334421021598195
United Rep. of Tanzania,2015.0,-1.3334421021598195
United States of America,2015.0,-0.43881093157137163
Uruguay,2015.0,-0.2661628109314955
Uzbekistan,2015.0,0.26747683468266614
Venezuela (Boliv. Rep. of),2010.0,-0.09351469029161966
Viet Nam,2010.0,0.8952881824640331
Yemen,2010.0,0.4087343879334738
Zambia,2010.0,-1.3334421021598195
Zambia,2015.0,-1.1450986978254094
