Country,Year,Labour force participation - Total
Thailand,2015.0,0.867760024462378
Timor-Leste,2010.0,0.6962239014496491
Timor-Leste,2015.0,0.6276094522445566
Tunisia,2010.0,-1.682410337660192
Türkiye,2010.0,-1.5451814392500087
Türkiye,2015.0,-1.1906734516903688
Uganda,2010.0,0.9706816982700144
Uganda,2015.0,0.9821174398041972
Ukraine,2010.0,-0.6074506334470912
United Arab Emirates,2015.0,2.1714345593591164
United Kingdom,2010.0,0.0901296001380065
United Kingdom,2015.0,0.12443682474055276
United Rep. of Tanzania,2010.0,2.8232718268074866
United Rep. of Tanzania,2015.0,2.5602497715213026
United States of America,2015.0,0.055822375535461044
Uruguay,2015.0,0.3760231384925555
Uzbekistan,2015.0,-0.5274004427078174
Venezuela (Boliv. Rep. of),2010.0,0.2616657231507354
Viet Nam,2010.0,1.6682619318551128
Yemen,2010.0,-2.5400909527238364
Zambia,2010.0,-0.2643783874216334
Zambia,2015.0,-0.3101213535583609
