Country,Year,Employment by industry: Agriculture (%) Male
Sri Lanka,2010.0,0.3566744711360473
Sri Lanka,2015.0,0.2767053965105083
Suriname,2015.0,-0.6989173139210672
Sweden,2010.0,-0.9868059825730073
Sweden,2015.0,-1.1467441318240854
Switzerland,2010.0,-0.9334932661559816
Switzerland,2015.0,-0.9441558094393867
Tajikistan,2010.0,1.1510339457497345
Thailand,2010.0,0.9857645248569539
Thailand,2015.0,0.6818820412799057
Timor-Leste,2010.0,1.3056408233591097
Timor-Leste,2015.0,1.3749473547012434
Tunisia,2010.0,-0.23509668109294118
Türkiye,2010.0,-0.22443413780953603
Türkiye,2015.0,-0.31506575571848017
Uganda,2010.0,2.430539139758358
Uganda,2015.0,2.174638100956633
Ukraine,2010.0,-0.20844032288442818
United Arab Emirates,2015.0,-0.9974685258564128
United Kingdom,2010.0,-1.061443785556844
United Kingdom,2015.0,-1.0667750571985464
United Rep. of Tanzania,2010.0,2.409214053191547
United Rep. of Tanzania,2015.0,2.307919891999198
United States of America,2015.0,-1.018793612423223
Uruguay,2015.0,-0.49099771989466584
Uzbekistan,2015.0,0.31935556964412914
Venezuela (Boliv. Rep. of),2010.0,-0.45901009004445026
Viet Nam,2010.0,1.3216346382842175
Yemen,2010.0,0.10077343233432254
Zambia,2010.0,2.068012668122581
Zambia,2015.0,1.7268112830536149
