Country,Year,"Assault rate per 100,000 population"
Russian Federation,2015.0,-0.507383349719414
Rwanda,2010.0,-0.5050016929884819
Rwanda,2015.0,-0.5050016929884819
Saint Lucia,2010.0,4.76203216746798
Saint Lucia,2015.0,4.76203216746798
Saint Vincent & Grenadines,2010.0,4.171381298196806
San Marino,2010.0,-0.4954750660647533
Sao Tome and Principe,2010.0,-0.5820085939552883
Saudi Arabia,2015.0,-0.5768483377049352
Senegal,2010.0,-0.5724819670315596
Senegal,2015.0,-0.5724819670315596
Serbia,2010.0,-0.5097650064503462
Serbia,2015.0,-0.5069864069309253
Sierra Leone,2015.0,-0.29521742927220784
Singapore,2010.0,-0.5490623425107267
Singapore,2015.0,-0.548665399722238
Slovakia,2010.0,-0.4033843391353766
Slovakia,2015.0,-0.4458572175036667
Slovenia,2010.0,-0.1608522953687854
Slovenia,2015.0,-0.2882709304736557
South Africa,2010.0,0.7175820955566913
South Africa,2015.0,0.7175820955566913
Spain,2010.0,-0.3684533737483716
Spain,2015.0,-0.3335224083613667
Sri Lanka,2010.0,0.658834562860365
Sri Lanka,2015.0,-0.5113527776043009
Suriname,2015.0,-0.3680564309598829
Sweden,2010.0,-0.34543069201602744
Sweden,2015.0,-0.3946515977886253
Switzerland,2010.0,-0.5573981410689893
Switzerland,2015.0,-0.552634827607125
Tajikistan,2010.0,-0.29620978624342953
Thailand,2010.0,-0.5292152030862921
Thailand,2015.0,-0.5046047501999932
Timor-Leste,2010.0,2.4867561038507944
Timor-Leste,2015.0,3.9427422520273194
Tunisia,2010.0,-0.2928357725412757
Türkiye,2010.0,0.6159647417035862
Türkiye,2015.0,0.6159647417035862
Uganda,2010.0,-0.2997822713398278
Uganda,2015.0,-0.4752309838518299
Ukraine,2010.0,-0.5470776285682832
United Arab Emirates,2015.0,-0.5677186535696953
United Kingdom,2010.0,0.9083131054255081
United Kingdom,2015.0,0.9083131054255081
United Rep. of Tanzania,2010.0,-0.564146168473297
United Rep. of Tanzania,2015.0,-0.564146168473297
United States of America,2015.0,0.3523947301470942
Uruguay,2015.0,-0.5272304891438486
Uzbekistan,2015.0,-0.562955340107831
Venezuela (Boliv. Rep. of),2010.0,-0.3781784720663446
Viet Nam,2010.0,-0.13048617204940038
Yemen,2010.0,-0.29521742927220784
Zambia,2010.0,-0.546879157174039
Zambia,2015.0,-0.3494001199009144
